Creacion 11/05/2018 11:16:27 a.m.
CLIENTE_ID|FECHA_ALTA|FECHA_CONFIRM|FECHA_BAJA|STATUS|SYSDATE
3921140|2018/05/09|2018/05/09||18|2018/05/11
3921855|2018/05/08|2018/05/08||22|2018/05/11
3923304|2018/05/03|2018/05/03||18|2018/05/11
3923308|2018/05/10|2018/05/10||18|2018/05/11
3924627|2018/05/04|2018/05/04||18|2018/05/11
3924665|2018/05/08|2018/05/08||1|2018/05/11
3925879|2018/05/02|2018/05/02||18|2018/05/11
3927092|2018/05/09|2018/05/09||18|2018/05/11
3928342|2018/05/02|2018/05/02||18|2018/05/11
3928349|2018/05/03|2018/05/03||18|2018/05/11
3928354|2018/05/03|2018/05/03||1|2018/05/11
3930701|2018/05/07|2018/05/07||18|2018/05/11
3930710|2018/05/02|2018/05/02||22|2018/05/11
3930740|2018/05/04|2018/05/04||18|2018/05/11
3930770|2018/05/08|2018/05/08||18|2018/05/11
3933537|2018/05/02|2018/05/02||1|2018/05/11
3933546|2018/05/10|2018/05/10||18|2018/05/11
3933620|2018/05/02|2018/05/02||1|2018/05/11
3933621|2018/05/09|2018/05/09||18|2018/05/11
3933631|2018/05/03|2018/05/03||18|2018/05/11
3933651|2018/05/04|2018/05/04||23|2018/05/11
3933731|2018/05/04|2018/05/04||18|2018/05/11
3933752|2018/05/04|2018/05/04||18|2018/05/11
3933769|2018/05/03|2018/05/03||1|2018/05/11
3933796|2018/05/02|2018/05/02||1|2018/05/11
3935184|2018/05/04|2018/05/04||18|2018/05/11
3935197|2018/05/08|2018/05/08||18|2018/05/11
3937419|2018/05/03|2018/05/03||18|2018/05/11
3937424|2018/05/08|2018/05/08||18|2018/05/11
3937432|2018/05/03|2018/05/03||1|2018/05/11
3937434|2018/05/03|2018/05/03||1|2018/05/11
3940348|2018/05/04|2018/05/04||18|2018/05/11
3940393|2018/05/02|2018/05/02||1|2018/05/11
3940405|2018/05/02|2018/05/02||18|2018/05/11
3940421|2018/05/02|2018/05/02||1|2018/05/11
